PID,fgs_label_s
islandora:965,smith_ssc_324_b1001_f011_006_p002
islandora:25671,smith_ssc_324_b1037_f009_008_p001
islandora:29686,smith_ssc_324_b1041_f001_003_p001
islandora:14926,smith_ssc_324_b1019_f003_011_p002
islandora:2728,smith_ssc_324_b1004_f007_017_p002
islandora:29571,smith_ssc_324_b1040_f019_021_p001
islandora:8941,smith_ssc_324_b1012_f008_022_p001
islandora:3086,smith_ssc_324_b1005_f001_039_p001
islandora:16232,smith_ssc_324_b1021_f006_001_p001
islandora:6827,smith_ssc_324_b1008_f006_027_p001
islandora:15485,smith_ssc_324_b1020_f004_024_p002
islandora:6405,smith_ssc_324_b1007_f009_013_p001
islandora:8409,smith_ssc_324_b1011_f012_008_p001
islandora:15490,smith_ssc_324_b1020_f004_027_p001
islandora:29270,smith_ssc_324_r019_m003_test
islandora:10332,smith_ssc_324_b1014_f008_005_p001
islandora:24762,smith_ssc_324_b1035_f008_002_p002
islandora:973,smith_ssc_324_b1001_f011_010_p002
islandora:12709,smith_ssc_324_b1017_f008_014_p002
islandora:1095,smith_ssc_324_b1001_f015_007_p001
islandora:8616,smith_ssc_324_b1012_f004_008_p001
islandora:18741,smith_ssc_324_b1023_f001_003_p001
islandora:29565,smith_ssc_324_b1040_f019_017_p002
islandora:23139,smith_ssc_324_b1032_f002_008_p001
islandora:25315,smith_ssc_324_b1036_f024_016_p001
islandora:27235,smith_ssc_324_b1037_f013_001_p001
islandora:22634,smith_ssc_324_b1031_f010_017_p002
islandora:587,smith_ssc_324_b1001_f004_009_p002
islandora:10768,smith_ssc_324_b1015_f003_023_p002
islandora:23248,smith_ssc_324_b1032_f003_052_p001
islandora:17688,smith_ssc_324_b1023_f011_036_p001
islandora:7601,smith_ssc_324_b1010_f004_001_p001
islandora:17642,smith_ssc_324_b1023_f011_013_p001
islandora:17608,smith_ssc_324_b1023_f010_008_p002
islandora:24666,smith_ssc_324_b1035_f005_001_p001
islandora:27234,smith_ssc_324_b1037_f012_013_p002
islandora:18755,smith_ssc_324_b1023_f001_010_p001
islandora:3034,smith_ssc_324_b1005_f001_012_p001
islandora:8561,smith_ssc_324_b1012_f002_029_p002
islandora:978,smith_ssc_324_b1001_f011_013_p001
islandora:2450,smith_ssc_324_b1004_f001_011_p001
islandora:22680,smith_ssc_324_b1031_f010_040_p002
islandora:8637,smith_ssc_324_b1012_f004_018_p002
islandora:24692,smith_ssc_324_b1035_f005_014_p001
islandora:5387,smith_ssc_324_b1007_f005_028_p002
